screening_score,pki_dfg_in,pki_dfg_out,delta_pki,sync_score,prior_dfg_out_prob,used_prior,ligand,ligand_smiles,compound_mw,compound_logp,compound_hbd
0.9965969,7.827376365661621,8.047369003295898,-0.4179595708847046,0.8500000238418579,,False,LIF,COc1ccc(cc1)c2c(c3c(ncnc3o2)N)c4ccc(cc4)NC(=O)Nc5cc(ccc5F)C(F)(F)F,537.4730000000002,6.949500000000003,3
0.9956268,7.863044738769531,8.081278800964355,-0.40601375699043274,0.8500000238418579,,False,R24,Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)Nc3cccc(c3)Nc4ccnc5c4cc(cc5)[N+](=O)[O-],535.6080000000002,7.322220000000005,3
0.995488,7.792218208312988,8.013858795166016,-0.4295997619628906,0.8500000238418579,,False,CVY,Cn1cc(cn1)c2c3cc(ccc3[nH]n2)NC(=O)c4ccc(cc4C(F)(F)F)NC(=O)Nc5cc(ccc5F)C(F)(F)F,605.4740000000003,7.036400000000003,4
0.99505085,7.786328315734863,8.008223533630371,-0.43167003989219666,0.8500000238418579,,False,G0K,Cc1ccc(cc1Nc2c3cccnc3nc(n2)c4cccnc4)C(=O)Nc5cccc(c5)C(F)(F)F,500.48400000000015,6.409920000000004,2
0.9949537,7.772002696990967,7.994541168212891,-0.4369077980518341,0.8500000238418579,,False,X9M,Cc1c(cccc1NC(=O)c2ccc(cc2)C(C)(C)C)c3ccnc4c3[nH]c(n4)c5ccc(cc5)C(=O)N6CCOCC6,573.697,6.622520000000008,2
0.9949005,7.842012405395508,8.061281204223633,-0.4127667248249054,0.8500000238418579,,False,B6E,c1cc(oc1)C(=O)Nc2[nH]c3ccc(cc3n2)Oc4ccc(cc4)NC(=O)Nc5cc(ccc5F)C(F)(F)F,539.4450000000002,7.002400000000003,4
0.99464226,7.750129699707031,7.973627090454102,-0.4441662132740021,0.8500000238418579,,False,L0Z,Cc1c(cccc1NC(=O)c2ccc(cc2)C(C)(C)C)c3c4cc([nH]c4ncn3)c5ccc(cc5)C(=O)N6CCN(CC6)C,586.7399999999999,6.537720000000008,2
0.99452907,7.765120506286621,7.987953186035156,-0.4387083351612091,0.8500000238418579,,False,HYW,Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)NC3CCC(c4c3cccc4)Oc5ccc6nnc(n6c5)C(C)C,577.7330000000002,7.421020000000007,2
0.9944654,7.7608442306518555,7.983892440795898,-0.4401157796382904,0.8500000238418579,,False,QUF,Cc1ccc(cc1Nc2c3cnn(c3nc(n2)c4cccnc4)C)C(=O)Nc5cc(cc(c5)C(F)(F)F)C(F)(F)F,571.4850000000004,6.767220000000002,2
0.9942046,7.759178161621094,7.98228645324707,-0.440739244222641,0.8500000238418579,,False,FPX,Cc1ccc(cc1C2=Cc3cnc(nc3N(C2=O)C)Nc4ccccc4)NC(=O)c5cccc(c5)C(F)(F)F,529.5220000000002,6.318620000000004,2
0.9941361,7.779343128204346,8.001575469970703,-0.4344062805175781,0.8500000238418579,,False,NZ8,c1cc2c(nc1)Oc3cc(ccc3N(C2=O)c4ccncc4)NC(=O)Nc5ccc(c(c5)C(F)(F)F)Cl,525.8740000000001,6.877000000000002,2
0.99357456,7.851689338684082,8.070497512817383,-0.40955233573913574,0.8500000238418579,,False,GIG,COC(=O)Nc1[nH]c2ccc(cc2n1)Oc3ccc(cc3)NC(=O)Nc4cc(ccc4F)C(F)(F)F,503.4120000000001,6.335400000000002,4
0.99316674,7.8082170486450195,8.0291109085083,-0.424243301153183,0.8500000238418579,,False,G0N,Cc1ccc(cc1Nc2nc(nc(n2)c3ccncc3)c4ccncc4)C(=O)Nc5cccc(c5)C(F)(F)F,527.5100000000002,6.318720000000003,2
0.99316674,7.8082170486450195,8.0291109085083,-0.4242432713508606,0.8500000238418579,,False,FZW,Cc1ccc(cc1Nc2nc(nc(n2)c3cccnc3)c4cccnc4)C(=O)Nc5cccc(c5)C(F)(F)F,527.5100000000002,6.3187200000000034,2
0.9931564,7.784240245819092,8.006231307983398,-0.43213146924972534,0.8500000238418579,,False,NIL,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)C(=O)Nc4cc(cc(c4)n5cc(nc5)C)C(F)(F)F,529.5260000000002,6.355840000000003,2
