kinase,gene,uniprot,provenance,n_structures,n_dfg_in,n_dfg_out,accessible_states,n_type1_inhibitors,n_type2_inhibitors,type1_inhibitors,type2_inhibitors,type2_opportunity,med_dfg_achelix_distance_A,med_hinge_angle_deg,n_descriptors
HGK,MAP4K4,O95819,experimental,60,28,32,DFG-in|DFG-out,13,0,"2QT,2QU,2QV,3C8,3D8,3D9,3DC,3XM,4P4,4QG,5DF,6HH,9X4",,1.399,,,0
ROR2,ROR2,Q01974,experimental,8,0,8,DFG-out,0,0,,,1.193,,,0
RSK4,RPS6KA6,Q9UK32,experimental,6,0,6,DFG-out,0,0,,,1.056,,,0
LRRK2,LRRK2,Q5S007,experimental,43,1,41,DFG-in|DFG-out,0,1,,T3X,0.989,,,0
ILK,ILK,Q13418,experimental,4,0,4,DFG-out,0,0,,,0.874,,,0
CCK4,PTK7,Q13308,experimental,3,0,3,DFG-out,0,0,,,0.753,,,0
SgK495,STK40,Q8N2I9,experimental,8,4,4,DFG-in|DFG-out,0,0,,,0.716,,,0
LRRK1,LRRK1,Q38SD2,experimental,4,1,3,DFG-in|DFG-out,0,0,,,0.699,,,0
STLK5,STRADA,Q7RTN6,experimental,4,1,3,DFG-in|DFG-out,0,0,,,0.699,,,0
TRRAP,TRRAP,Q9Y4A5,experimental,4,0,3,DFG-out,0,0,,,0.699,,,0
CK2a1,CSNK2A1,P68400,experimental,595,593,0,DFG-in,138,0,"01I,041,04G,0XG,0Y4,14I,18E,19E,1EL,1KP,3G5,3NG,42J,4B0,4IH",,0.694,,,0
CDK6,CDK6,Q00534,experimental,21,16,5,DFG-in|DFG-out,13,0,"0RS,24V,3NU,3NV,4AU,6ZV,6ZZ,AP9,FSE,LQQ,N1A,N1J,NJ6",,0.655,,,0
VRK1,VRK1,Q99986,experimental,209,205,4,DFG-in|DFG-out,18,0,"584,7DZ,8E1,E1D,E5M,E8D,E8V,EA7,F7D,F87,F8Y,FBY,FCS,G6J,KWJ",,0.625,,,0
RAF1,RAF1,P04049,experimental,7,4,3,DFG-in|DFG-out,2,0,"29L,SM5",,0.613,,,0
Trb1,TRIB1,Q96RU8,experimental,7,4,3,DFG-in|DFG-out,0,0,,,0.613,,,0
Erk2,MAPK1,P28482,experimental,275,259,0,DFG-in,113,0,"08G,19A,1FM,2AI,2SH,33A,35W,35X,362,363,36N,36O,36Q,36R,38Z",,0.61,,,0
PIM1,PIM1,P11309,experimental,274,274,0,DFG-in,162,0,"01I,0F5,0F9,0FK,0FN,0FO,0FR,0FS,1DR,1N6,1OA,1OB,1OC,1RO,26K",,0.61,,,0
DYRK1A,DYRK1A,Q13627,experimental,257,257,0,DFG-in,78,0,"2C3,2C4,2K2,3NG,3RA,4E1,4E2,4E3,4H5,4VZ,4WD,5PW,6SD,6ZV,7QQ",,0.603,,,0
LMR3,LMTK3,Q96Q04,experimental,2,0,2,DFG-out,0,0,,,0.596,,,0
NEK1,NEK1,Q96PY6,experimental,8,0,8,DFG-out,0,1,,CK7,0.596,,,0
NDR1,STK38,Q15208,experimental,2,0,2,DFG-out,0,0,,,0.596,,,0
CHK1,CHEK1,O14757,experimental,237,236,0,DFG-in,143,0,"07S,09H,12C,199,1AM,1AO,1HK,1KO,22K,2HK,306,373,3A3,3B3,3C3",,0.594,,,0
GSK3B,GSK3B,P49841,experimental,214,214,0,DFG-in,72,0,"0KD,1JX,2WE,2WF,2WG,34O,39I,3HT,3NG,3UO,3UP,553,55E,65A,65C",,0.583,,,0
ALK2,ACVR1,Q04771,experimental,202,202,0,DFG-in,28,0,"507,5U6,7IO,844,9TO,A3F,B4B,B4E,C87,C9U,E26,EUN,EZB,FH0,H8H",,0.577,,,0
MARK1,MARK1,Q9P0L2,experimental,12,5,3,DFG-in|DFG-out,0,0,,,0.557,,,0
CK1d,CSNK1D,P48730,experimental,166,166,0,DFG-in,27,0,"0CK,15G,16W,1QG,1QJ,1QM,1QN,1QO,37J,386,9WG,9XK,AUE,AUG,C9Z",,0.556,,,0
ErbB3,ERBB3,P21860,experimental,16,13,3,DFG-in|DFG-out,1,0,DB8,,0.538,,,0
JAK1,JAK1,P23458,experimental,139,139,0,DFG-in,41,0,"0NH,0NL,0NT,0Q2,0UJ,15T,1J5,1J6,1Q3,1Q4,5JG,66P,6TE,9T6,B7V",,0.537,,,0
CDK7,CDK7,P50613,experimental,18,15,3,DFG-in|DFG-out,3,0,"I74,V0G,WZ8",,0.533,,,0
FGFR2,FGFR2,P21802,experimental,116,116,0,DFG-in,15,0,"3RH,47I,9WX,AA2,EVC,EVL,KX0,M33,TZ0,U9P,UIM,WCJ,WF7,WFD,WXQ",,0.517,,,0
p110g,PIK3CG,P48736,experimental,114,114,0,DFG-in,99,0,"039,090,093,0KO,0SC,0SD,0SE,0TA,0TB,0TZ,0U0,0VU,0W7,0WR,13K",,0.515,,,0
JAK3,JAK3,P52333,experimental,109,109,0,DFG-in,41,0,"19Q,19R,19S,1DT,1NX,37Q,3C9,3QX,4LH,4ST,79R,79S,79T,7H4,7KU",,0.51,,,0
MAPKAPK2,MAPKAPK2,P49137,experimental,108,108,0,DFG-in,16,0,"05B,793,B18,B97,B98,CD2,F10,HGF,L8I,LX9,MK2,MK3,P4O,PDY,STU",,0.509,,,0
DAPK1,DAPK1,P53355,experimental,106,106,0,DFG-in,23,0,"2AN,38G,3GU,3RL,47X,4FT,8KZ,AGI,BD4,DKG,DRG,EZE,GEN,GUB,KMP",,0.507,,,0
MST3,STK24,Q9Y6E0,experimental,59,57,2,DFG-in|DFG-out,31,0,"1N1,34L,34U,34W,35R,3FE,3JA,3JB,59T,627,ADE,B49,DB8,DKI,H1N",,0.505,,,0
CLK1,CLK1,P49759,experimental,102,102,0,DFG-in,33,0,"06N,3NG,5ID,6FB,6FD,7A7,DBQ,E6T,E6W,EAE,EAQ,FG9,H3E,H3H,H3N",,0.503,,,0
PKACa,PRKACA,P17612,experimental,94,94,0,DFG-in,32,0,"1SB,2SB,35R,3SB,495,4L7,4SB,4W1,504,796,8BQ,A03,E3Z,EE4,I5G",,0.494,,,0
MAP2K4,MAP2K4,P45985,experimental,6,4,2,DFG-in|DFG-out,0,0,,,0.493,,,0
DDR2,DDR2,Q16832,experimental,14,0,14,DFG-out,0,2,,"4VD,D6Q",0.49,,,0
PI4K2B,PI4K2B,Q8TCG2,experimental,5,0,5,DFG-out,0,1,,L6A,0.486,,,0
TTK,TTK,P33981,experimental,83,83,0,DFG-in,58,0,"052,0SQ,1O5,1PF,1PH,2QK,3D7,4T9,537,5NW,5O1,5O4,5O7,5OE,5OQ",,0.481,,,0
ITK,ITK,Q08881,experimental,81,81,0,DFG-in,30,0,"0F2,0G1,0G2,13J,13L,18R,29Y,29Z,2VT,2VU,2VV,2VW,2W6,30T,3P6",,0.478,,,0
TGFbR1,TGFBR1,P36897,experimental,75,75,0,DFG-in,26,0,"085,3WA,3WJ,3WK,3WN,3WO,460,55F,580,5L4,855,8LY,D0A,J2M,J2V",,0.47,,,0
CK2a2,CSNK2A2,P19784,experimental,74,74,0,DFG-in,24,0,"041,3NG,42J,4B0,7FC,8BH,9YE,CCK,E3U,FXB,GDW,JL2,LN3,N4N,N5Q",,0.469,,,0
PAK4,PAK4,O96013,experimental,72,71,0,DFG-in,22,0,"23D,2OL,2OO,2OQ,4T6,67U,7KC,8FR,8FU,8FX,981,9EO,G5X,GC6,GCC",,0.466,,,0
JNK1,MAPK8,P45983,experimental,70,70,0,DFG-in,18,0,"0NR,1BJ,1BK,1J2,1V5,38Z,537,73Q,859,877,893,ADN,AQ2,CFK,G1W",,0.463,,,0
Haspin,HASPIN,Q8TF76,experimental,66,65,0,DFG-in,22,0,"07C,38Z,5ID,A5G,DZO,EKH,EKK,FTU,IQB,IZZ,PQ5,Q7Q,Q7Z,Q8B,Q8K",,0.457,,,0
TYK2-b,TYK2-b,P29597,experimental,62,62,0,DFG-in,21,0,"2TT,3SM,7GL,IK1,KZJ,L8Y,L91,L9A,LAJ,LB4,LB7,LZN,NM7,UNL,VZG",,0.45,,,0
NEK7,NEK7,Q8TDX7,experimental,27,15,10,DFG-in|DFG-out,1,1,F9N,F9N,0.449,,,0
RET,RET,P07949,experimental,58,56,0,DFG-in,18,0,"7QU,ACK,ADE,ADN,DTQ,H6W,H72,HJ0,PP1,Q4J,Q6G,QX1,VJH,X2K,X2L",,0.443,,,0
CHK2,CHEK2,O96017,experimental,55,55,0,DFG-in,33,0,"A9T,A9U,B4W,CWS,D1A,DBQ,H3R,HAU,HCW,LWH,NXP,ODH,ODO,P3J,RQQ",,0.437,,,0
MNK1,MKNK1,Q9BUB5,experimental,4,0,4,DFG-out,0,1,,7UX,0.437,,,0
CLK3,CLK3,P49761,experimental,54,54,0,DFG-in,14,0,"3NG,3RA,DKI,E6Q,EAE,EAQ,JWN,KHC,PQ5,Q7H,Q7Z,Q8B,Q8T,V25",,0.435,,,0
CaMKK1,CAMKK1,Q8N5S9,experimental,10,0,10,DFG-out,0,2,,"DXV,H1N",0.434,,,0
DNAPK,ANTXR1,Q9H6X2,experimental,47,47,0,DFG-in,4,0,"1IX,2R4,KWT,MBW",,0.42,,,0
CRK7,CDK12,Q9NYV4,experimental,47,47,0,DFG-in,31,0,"5I1,8M1,CJM,RC8,RKO,RLC,RMF,RMX,RNF,RNU,RP9,RPW,RQ5,RQ9,RQE",,0.42,,,0
TNIK,TNIK,Q9UKE5,experimental,29,28,1,DFG-in|DFG-out,6,0,"4KT,58C,824,ADN,JWE,JWK",,0.42,,,0
