structure_ID,fold_kinase,y_true,distance,hinge_angle,y_pred,prob_dfg_out
1081,ABL1,0,10.438,59.564,0,0.2345
1058,ABL1,0,10.412,16.518,0,0.0188
1060,ABL1,0,9.613,60.258,0,0.1177
1072,ABL1,0,9.771,59.316,0,0.1294
1082,ABL1,0,9.99,60.752,0,0.1704
1090,ABL1,0,9.931,60.327,0,0.1581
1075,ABL1,0,10.839,26.402,0,0.0536
1091,ABL1,0,10.26,58.345,0,0.1901
1053,ABL1,0,9.613,60.258,0,0.1177
1084,ABL1,0,9.99,60.752,0,0.1704
1088,ABL1,0,9.622,60.208,0,0.1184
1111,ABL1,0,10.347,23.779,0,0.0277
14878,ABL1,0,12.412,19.244,0,0.1602
12892,ABL1,0,9.09,65.953,0,0.0992
12861,ABL1,0,9.483,65.763,0,0.1417
1105,ABL1,0,13.142,59.357,1,0.842
12885,ABL1,0,9.067,64.462,0,0.089
12906,ABL1,0,9.349,68.908,0,0.1489
12905,ABL1,0,8.933,71.527,0,0.1173
12858,ABL1,0,9.699,63.291,0,0.1506
12862,ABL1,0,9.478,66.309,0,0.1453
1045,ABL1,0,12.957,58.824,1,0.8089
1064,ABL1,0,13.08,59.263,1,0.8322
12869,ABL1,0,9.414,66.223,0,0.1364
12912,ABL1,0,9.203,63.821,0,0.0978
12881,ABL1,0,8.787,63.32,0,0.0632
12866,ABL1,0,9.817,57.699,0,0.1234
1096,ABL1,0,13.215,58.752,1,0.8471
1067,ABL1,0,10.029,17.659,0,0.0136
12873,ABL1,0,9.015,65.382,0,0.0893
1057,ABL1,1,9.257,57.467,0,0.0711
1046,ABL1,1,12.371,53.614,1,0.6199
1089,ABL1,1,10.147,58.863,0,0.177
1071,ABL1,1,12.35,56.828,1,0.6618
1047,ABL1,1,11.895,61.309,1,0.6163
1048,ABL1,1,12.237,59.668,1,0.6753
1062,ABL1,1,12.292,55.034,1,0.6214
1049,ABL1,1,12.35,56.828,1,0.6618
1063,ABL1,1,10.408,57.51,0,0.2066
1073,ABL1,1,10.607,58.281,0,0.2525
1050,ABL1,1,12.209,54.339,1,0.5898
1074,ABL1,1,7.8,37.241,0,0.0045
1065,ABL1,1,12.276,58.916,1,0.6739
1051,ABL1,1,11.895,61.329,1,0.6167
1052,ABL1,1,12.636,59.768,1,0.7617
1083,ABL1,1,12.636,59.768,1,0.7617
1066,ABL1,1,12.489,56.193,1,0.6853
1076,ABL1,1,11.906,61.76,1,0.6259
1107,ABL1,1,12.138,59.176,1,0.6447
1068,ABL1,1,12.317,59.079,1,0.6856
1054,ABL1,1,12.231,58.918,1,0.6634
1055,ABL1,1,10.429,57.471,0,0.2098
1077,ABL1,1,12.489,56.193,1,0.6853
1069,ABL1,1,11.962,60.502,1,0.621
1056,ABL1,1,11.917,60.281,1,0.6063
1104,ABL1,1,10.245,57.081,0,0.1757
1092,ABL1,1,12.102,59.067,1,0.6343
782,EGFR,0,12.672,65.128,1,0.8579
796,EGFR,0,10.747,60.991,0,0.3514
783,EGFR,0,8.976,63.306,0,0.0875
797,EGFR,0,9.565,62.945,0,0.1497
821,EGFR,0,9.395,59.996,0,0.1039
810,EGFR,0,12.264,72.844,1,0.8774
775,EGFR,0,10.23,54.4,0,0.1551
777,EGFR,0,10.41,28.327,0,0.0274
784,EGFR,0,12.551,64.628,1,0.8358
800,EGFR,0,12.133,73.442,1,0.8669
785,EGFR,0,9.127,62.125,0,0.0932
778,EGFR,0,12.614,63.361,1,0.8313
779,EGFR,0,9.202,59.185,0,0.0811
781,EGFR,0,9.728,61.673,0,0.1596
811,EGFR,0,9.22,63.871,0,0.1154
786,EGFR,0,10.136,62.243,0,0.236
801,EGFR,0,9.141,60.259,0,0.0825
802,EGFR,0,10.486,59.8,0,0.271
789,EGFR,0,9.106,62.128,0,0.0913
803,EGFR,0,12.545,62.923,1,0.8154
790,EGFR,0,9.082,61.173,0,0.0832
791,EGFR,0,12.703,65.796,1,0.8681
833,EGFR,0,9.116,60.405,0,0.0814
819,EGFR,0,11.649,32.072,0,0.1266
804,EGFR,0,10.475,61.081,0,0.289
792,EGFR,0,12.614,63.361,1,0.8313
793,EGFR,0,8.288,60.897,0,0.0362
806,EGFR,0,9.303,63.504,0,0.1218
794,EGFR,0,11.005,20.35,0,0.0277
795,EGFR,0,12.602,63.22,1,0.8279
6367,EGFR,1,14.111,61.888,1,0.9568
6375,EGFR,1,14.388,59.398,1,0.9608
6376,EGFR,1,14.403,59.399,1,0.9614
6377,EGFR,1,14.259,61.224,1,0.961
6378,EGFR,1,14.571,59.111,1,0.9669
6379,EGFR,1,14.258,61.224,1,0.961
6380,EGFR,1,14.57,59.107,1,0.9669
7386,EGFR,1,14.295,57.875,1,0.9516
7387,EGFR,1,14.295,57.875,1,0.9516
7511,EGFR,1,14.373,61.731,1,0.9667
7512,EGFR,1,14.046,62.892,1,0.9572
7513,EGFR,1,14.046,62.892,1,0.9572
7514,EGFR,1,14.113,63.039,1,0.9605
7516,EGFR,1,13.994,62.612,1,0.9538
7517,EGFR,1,14.373,61.731,1,0.9667
7518,EGFR,1,13.994,62.612,1,0.9538
7519,EGFR,1,14.113,63.039,1,0.9605
8568,EGFR,1,11.755,61.589,1,0.6283
850,EGFR,1,11.162,70.356,1,0.6408
883,EGFR,1,10.971,63.527,0,0.4577
805,EGFR,1,11.318,45.272,0,0.2241
6593,EGFR,1,11.265,46.703,0,0.234
8554,EGFR,1,11.049,46.112,0,0.1875
843,EGFR,1,10.993,66.371,1,0.52
868,EGFR,1,11.013,46.639,0,0.1879
863,EGFR,1,11.013,46.639,0,0.1879
903,EGFR,1,10.983,67.961,1,0.5487
876,EGFR,1,10.732,63.848,0,0.4007
3051,BRAF,0,12.736,62.318,1,0.831
3126,BRAF,0,12.707,61.559,1,0.8194
3095,BRAF,0,9.752,62.713,0,0.1796
3079,BRAF,0,13.594,61.107,1,0.918
3054,BRAF,0,8.952,39.312,0,0.0199
3096,BRAF,0,9.805,63.88,0,0.2
3098,BRAF,0,10.037,63.007,0,0.2315
3080,BRAF,0,12.543,63.828,1,0.816
3057,BRAF,0,12.986,62.37,1,0.8652
3113,BRAF,0,12.269,56.495,1,0.6724
3143,BRAF,0,12.992,63.188,1,0.8721
3060,BRAF,0,9.743,62.757,0,0.1787
3062,BRAF,0,9.98,63.132,0,0.2224
3100,BRAF,0,12.241,63.514,1,0.7597
3082,BRAF,0,12.828,62.46,1,0.8454
3083,BRAF,0,10.05,63.036,0,0.2343
3064,BRAF,0,12.132,64.119,1,0.7458
3115,BRAF,0,12.644,58.78,1,0.7797
3102,BRAF,0,10.302,59.979,0,0.246
3103,BRAF,0,9.328,65.572,0,0.1447
3128,BRAF,0,12.338,62.576,1,0.767
3086,BRAF,0,9.954,64.898,0,0.2382
3104,BRAF,0,12.744,62.336,1,0.8324
3087,BRAF,0,10.052,62.69,0,0.2306
3129,BRAF,0,9.658,64.626,0,0.1836
3088,BRAF,0,14.449,35.247,1,0.834
3106,BRAF,0,9.828,62.021,0,0.1848
3118,BRAF,0,12.17,57.174,1,0.6592
3107,BRAF,0,12.62,19.006,0,0.2016
3108,BRAF,0,10.545,59.852,0,0.2946
3050,BRAF,1,12.177,63.082,1,0.7418
3052,BRAF,1,12.784,55.494,1,0.7676
3055,BRAF,1,13.09,56.006,1,0.8249
3134,BRAF,1,12.166,61.875,1,0.724
3081,BRAF,1,12.945,54.256,1,0.7829
3059,BRAF,1,12.172,62.061,1,0.7277
3127,BRAF,1,12.304,60.112,1,0.7298
3063,BRAF,1,12.281,62.221,1,0.7518
3101,BRAF,1,12.805,59.477,1,0.8144
3065,BRAF,1,12.698,57.686,1,0.777
3084,BRAF,1,12.41,55.99,1,0.6972
3066,BRAF,1,13.229,55.079,1,0.8369
3135,BRAF,1,12.536,62.163,1,0.7978
3067,BRAF,1,12.434,58.46,1,0.7353
3085,BRAF,1,12.219,61.999,1,0.7366
3069,BRAF,1,13.098,54.542,1,0.8119
3116,BRAF,1,12.751,61.088,1,0.8217
3070,BRAF,1,12.845,54.792,1,0.7708
3072,BRAF,1,12.457,61.284,1,0.7741
3074,BRAF,1,13.013,58.759,1,0.8389
3105,BRAF,1,12.557,62.096,1,0.8006
3076,BRAF,1,12.798,61.788,1,0.8353
3089,BRAF,1,12.716,57.498,1,0.7782
3077,BRAF,1,12.724,61.336,1,0.8199
3119,BRAF,1,13.198,55.354,1,0.8349
3109,BRAF,1,12.316,60.07,1,0.7318
3130,BRAF,1,12.678,60.133,1,0.8003
3121,BRAF,1,12.772,58.216,1,0.7959
3123,BRAF,1,13.013,58.759,1,0.8389
